epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1643,1.08494,4.51743,1.40366,0.01243,0.95919,0.12199,0.06912,0.75493,4.01479,1.44795,3.333e-05,3.333e-05,3.333e-05
2,72.2652,0.9613,4.37399,1.37674,0.01722,0.96047,0.16507,0.1026,0.7227,4.00909,1.425,7.52036e-05,7.52036e-05,7.52036e-05
3,129.251,0.67697,4.28798,1.17168,0.01491,0.96916,0.19429,0.12217,0.81994,4.03548,1.50545,0.000114144,0.000114144,0.000114144
4,177.906,0.78371,3.83249,1.19554,0.0098,0.97919,0.20966,0.13463,0.94328,4.01281,1.64435,0.000150152,0.000150152,0.000150152
5,205.973,0.72132,3.5304,1.21666,0.00932,0.96175,0.19195,0.12272,1.05521,4.02026,1.76986,0.000183226,0.000183226,0.000183226
6,233.915,0.71395,2.99488,1.17893,0.01006,0.95336,0.17934,0.10458,1.10138,4.04038,1.85099,0.000213368,0.000213368,0.000213368
7,261.851,0.90915,2.959,1.35235,0.01096,0.94108,0.17769,0.10167,1.1151,4.08417,1.854,0.000240576,0.000240576,0.000240576
8,290.486,0.81498,3.2402,1.21952,0.01287,0.91649,0.17338,0.09903,1.1885,4.16851,1.92869,0.000264851,0.000264851,0.000264851
