epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5133,1.08494,4.51743,1.40366,0.01243,0.95919,0.12199,0.06912,0.75493,4.01479,1.44795,3.333e-05,3.333e-05,3.333e-05
2,56.9085,0.9613,4.37399,1.37674,0.01722,0.96047,0.16507,0.1026,0.7227,4.00909,1.425,7.52036e-05,7.52036e-05,7.52036e-05
3,84.6349,0.67697,4.28798,1.17168,0.01491,0.96916,0.19429,0.12217,0.81994,4.03548,1.50545,0.000114144,0.000114144,0.000114144
4,115.649,0.78371,3.83249,1.19554,0.0098,0.97919,0.20966,0.13463,0.94328,4.01281,1.64435,0.000150152,0.000150152,0.000150152
